Sample	Lifestyle
Aquifex_pyrophilus_Mk5	TH-Anaerobic
Balnearium_lithotrophicum_SH112	TH-Anaerobic
Desulfurobacterium_atlanticum_SL482	TH-Anaerobic
Desulfurobacterium_crinifex_SL451	TH-Anaerobic
Desulfurobacterium_pacificum_SL480	TH-Anaerobic
Desulfurobacterium_thermolithotrophum_BSA	TH-Anaerobic
Phorcysia_thermohydrogeniphila_Cas60314	TH-Anaerobic
Thermosulfidibacter_takaii_ABI558	TH-Anaerobic
Thermovibrio_guaymasensis_DSM15286	TH-Anaerobic
Thermovibrio_ruber_DSM20990	TH-Anaerobic
Flexistipes_sinusarabici_MAS10	TH-Anaerobic
Oceanithermus_profundus_DSM14977	TH-Anaerobic
Rhabdothermus_arcticus_NOR5	TH-Anaerobic
Anaerobranca_horikoshii_DSM15461	TH-Anaerobic
Halonatronum_saccharophilum_DSM15060	TH-Anaerobic
Halothermothrix_orenii_DSM18212	TH-Anaerobic
Natranaerobius_thermophilus_jw_nm_wn_LF	TH-Anaerobic
Natranaerobius_trueperi_DSM25092	TH-Anaerobic
Thermohalobacter_berrensis_DSM15433	TH-Anaerobic
Halorhodospira_halochloris_DSM1059	TH-Anaerobic
Halorhodospira_halophila_SL1	TH-Anaerobic
Geotoga_petraea_T5	TH-Anaerobic
Kosmotoga_arenicorallina_SRI37	TH-Anaerobic
Kosmotoga_olearia_TBF19	TH-Anaerobic
Kosmotoga_pacifica_SLHLJ1	TH-Anaerobic
Marinitoga_okinawensis_IHB1	TH-Anaerobic
Marinitoga_piezophila_KA3	TH-Anaerobic
Mesoaciditoga_lauensis_MCat	TH-Anaerobic
Oceanotoga_teriensis_SET3	TH-Anaerobic
Petrotoga_halophila_SL24	TH-Anaerobic
Petrotoga_mexicana_DSM14811	TH-Anaerobic
Petrotoga_mobilis_SJ95	TH-Anaerobic
Thermosipho_melanesiensis_BI429	TH-Anaerobic
Thermosipho_atlanticus_DSM10996	TH-Anaerobic
Thermosipho_japonicus_IHB1	TH-Anaerobic
Thermotoga_maritima_MSB8	TH-Anaerobic
Aquifex_aeolicus_VF5	TH-Aerobic
Marinithermus_hydrothermalis_T1	TH-Aerobic
Vulcanithermus_mediatlanticus_DSM15217	TH-Aerobic
Salinibacillus_aidingensis_DSM18085	TH-Aerobic
Dichotomicrobium_thermohalophilum_DSM14464	TH-Aerobic
Halanaerobium_congolense_WG10	MH-Anaerobic
Halanaerobium_praevalens_DSM2228	MH-Anaerobic
Halobacteroides_halobius_DSM5150	MH-Anaerobic
Actinopolyspora_halophila_DSM43834	MH-Aerobic
Salinibacter_ruber_DSM13855	MH-Aerobic
Gracilibacillus_thermotolerans_DSM17042	MH-Aerobic
Oceanobacillus_iheyensis_HTE831	MH-Aerobic
Salimicrobium_halophilum_DSM4771	MH-Aerobic
Virgibacillus_halodenitrificans_PD1	MH-Aerobic
Chromohalobacter_salexigens_DSM3043	MH-Aerobic
Cobetia_marina_DSM4741	MH-Aerobic
Halomonas_elongata_DSM2581	MH-Aerobic
Vibrio_fischeri_ES114	MH-Aerobic
Caldanaerobacter_subterraneus_SEBR7145	TP-Anaerobic
Carboxydothermus_hydrogenoformans_Z2901	TP-Anaerobic
Neomoorella_glycerini_DSM11254	TP-Anaerobic
Neomoorella_thermoacetica_DSM21394	TP-Anaerobic
Thermacetogenium_phaeum_DSM12270	TP-Anaerobic
Thermoanaerobacter_tengcongensis_MB4	TP-Anaerobic
Thermoanaerobacter_thermohydrosulfuricus_DSM567	TP-Anaerobic
Thermoanaerobacterium_thermosaccharolyticum_DSM571	TP-Anaerobic
Athalassotoga_saccharophila_FeAm09	TP-Anaerobic
Desulfotomaculum_thermophilum_DSM1276	TP-Anaerobic
Meiothermus_ruber_DSM1279	TP-Aerobic
Thermus_thermophilus_HB8	TP-Aerobic
Truepera_radiovictrix_DSM17093	TP-Aerobic
Anoxybacillus_flavithermus_WK1	TP-Aerobic
Anoxybacillus_rupiensis_IHB	TP-Aerobic
Bacillus_licheniformis_ATCC14580	TP-Aerobic
Geobacillus_stearothermophilus_ATCC12980	TP-Aerobic
Bacillus_subtilis_168	Mesophile
Corynebacterium_glutamicum_ATCC13032	Mesophile
Escherichia_coli_K12MG1655	Mesophile
Fusobacterium_nucleatum_ATCC25586	Mesophile
Lactobacillus_plantarum_WCFS1	Mesophile
Pseudomonas_putida_KT2440	Mesophile
Staphylococcus_aureus_MRSA252	Mesophile
Staphylococcus_epidermidis_ATCC12228	Mesophile
