bacLIFE_name	Full_name
Actinopolyspora_halophila_DSM43834	Actinopolyspora_halophila
Anaerobranca_horikoshii_DSM15461	Anaerobranca_horikoshii
Anoxybacillus_flavithermus_WK1	Anoxybacillus_flavithermus
Anoxybacillus_rupiensis_IHB	Anoxybacillus_rupiensis
Athalassotoga_saccharophila_FeAm09	Athalassotoga_saccharophila
Bacillus_licheniformis_ATCC14580	Bacillus_licheniformis
Bacillus_subtilis_168	Bacillus_subtilis
Caldanaerobacter_subterraneus_SEBR7145	Caldanaerobacter_subterraneus
Carboxydothermus_hydrogenoformans_Z2901	Carboxydothermus_hydrogenoformans
Chromohalobacter_salexigens_DSM3043	Chromohalobacter_salexigens
Cobetia_marina_DSM4741	Cobetia_marina
Corynebacterium_glutamicum_ATCC13032	Corynebacterium_glutamicum
Desulfotomaculum_thermophilum_DSM1276	Desulfotomaculum_thermophilum
Dichotomicrobium_thermohalophilum_DSM14464	Dichotomicrobium_thermohalophilum
Escherichia_coli_K12MG1655	Escherichia_coli
Fusobacterium_nucleatum_ATCC25586	Fusobacterium_nucleatum
Geobacillus_stearothermophilus_ATCC12980	Geobacillus_stearothermophilus
Gracilibacillus_thermotolerans_DSM17042	Gracilibacillus_thermotolerans
Halanaerobium_congolense_WG10	Halanaerobium_congolense
Halanaerobium_praevalens_DSM2228	Halanaerobium_praevalens
Halobacteroides_halobius_DSM5150	Halobacteroides_halobius
Halomonas_elongata_DSM2581	Halomonas_elongata
Halonatronum_saccharophilum_DSM15060	Halonatronum_saccharophilum
Halonotius_sp_J07HN4	Halonotius_sp_J07HN4
Halothermothrix_orenii_DSM18212	Halothermothrix_orenii
Kosmotoga_olearia_TBF19	Kosmotoga_olearia
Lactobacillus_plantarum_WCFS1	Lactobacillus_plantarum
Meiothermus_ruber_DSM1279	Meiothermus_ruber
Natranaerobius_thermophilus_jw_nm_wn_LF	Natranaerobius_thermophilus
Natranaerobius_trueperi_DSM25092	Natranaerobius_trueperi
Neomoorella_glycerini_DSM11254	Neomoorella_glycerini
Neomoorella_thermoacetica_DSM21394	Neomoorella_thermoacetica
Oceanobacillus_iheyensis_HTE831	Oceanobacillus_iheyensis
Petrotoga_mobilis_SJ95	Petrotoga_mobilis
Pseudomonas_putida_KT2440	Pseudomonas_putida
Salinibacillus_aidingensis_DSM18085	Salinibacillus_aidingensis
Salinibacter_ruber_DSM13855	Salinibacter_ruber_DSM13855
Salinibacter_ruber_M8	Salinibacter_ruber_M8
Salimicrobium_halophilum_DSM4771	Salimicrobium_halophilum
Staphylococcus_aureus_MRSA252	Staphylococcus_aureus
Staphylococcus_epidermidis_ATCC12228	Staphylococcus_epidermidis
Thermacetogenium_phaeum_DSM12270	Thermacetogenium_phaeum
Thermoanaerobacter_tengcongensis_MB4	Thermoanaerobacter_tengcongensis
Thermoanaerobacter_thermohydrosulfuricus_DSM567	Thermoanaerobacter_thermohydrosulfuricus
Thermoanaerobacterium_thermosaccharolyticum_DSM571	Thermoanaerobacterium_thermosaccharolyticum
Thermohalobacter_berrensis_DSM15433	Thermohalobacter_berrensis
Thermotoga_maritima_MSB8	Thermotoga_maritima
Thermus_thermophilus_HB8	Thermus_thermophilus
Truepera_radiovictrix_DSM17093	Truepera_radiovictrix
Vibrio_fischeri_ES114	Vibrio_fischeri
Virgibacillus_halodenitrificans_PD1	Virgibacillus_halodenitrificans
Aquifex_aeolicus_VF5	Aquifex_aeolicus
Aquifex_pyrophilus_Mk5	Aquifex_pyrophilus
Balnearium_lithotrophicum_SH112	Balnearium_lithotrophicum
Desulfurobacterium_atlanticum_SL482	Desulfurobacterium_atlanticum
Desulfurobacterium_crinifex_SL451	Desulfurobacterium_crinifex
Desulfurobacterium_pacificum_SL480	Desulfurobacterium_pacificum
Desulfurobacterium_thermolithotrophum_BSA	Desulfurobacterium_thermolithotrophum
Flexistipes_sinusarabici_MAS10	Flexistipes_sinusarabici
Geotoga_petraea_T5	Geotoga_petraea
Halorhodospira_halochloris_DSM1059	Halorhodospira_halochloris
Halorhodospira_halophila_SL1	Halorhodospira_halophila
Kosmotoga_arenicorallina_SRI37	Kosmotoga_arenicorallina
Kosmotoga_pacifica_SLHLJ1	Kosmotoga_pacifica
Marinithermus_hydrothermalis_T1	Marinithermus_hydrothermalis
Marinitoga_okinawensis_IHB1	Marinitoga_okinawensis
Marinitoga_piezophila_KA3	Marinitoga_piezophila
Mesoaciditoga_lauensis_MCat	Mesoaciditoga_lauensis
Oceanithermus_profundus_DSM14977	Oceanithermus_profundus
Oceanotoga_teriensis_SET3	Oceanotoga_teriensis
Petrotoga_halophila_SL24	Petrotoga_halophila
Petrotoga_mexicana_DSM14811	Petrotoga_mexicana
Phorcysia_thermohydrogeniphila_Cas60314	Phorcysia_thermohydrogeniphila
Rhabdothermus_arcticus_NOR5	Rhabdothermus_arcticus
Thermosipho_atlanticus_DSM10996	Thermosipho_atlanticus
Thermosipho_japonicus_IHB1	Thermosipho_japonicus
Thermosipho_melanesiensis_BI429	Thermosipho_melanesiensis
Thermosulfidibacter_takaii_ABI558	Thermosulfidibacter_takaii
Thermovibrio_guaymasensis_DSM15286	Thermovibrio_guaymasensis
Thermovibrio_ruber_DSM20990	Thermovibrio_ruber
Vulcanithermus_mediatlanticus_DSM15217	Vulcanithermus_mediatlanticus
