Sample	Lifestyle
Halothermothrix_orenii	Thermohalophile
Natranaerobius_thermophilus	Thermohalophile
Actinopolyspora_halophila	Thermohalophile
Dichotomicrobium_thermohalophilum	Thermohalophile
Thermohalobacter_berrensis	Thermohalophile
Petrotoga_mobilis	Thermohalophile
Salinibacter_ruber_M8	Extreme-Halophile-Bacterial
Salinibacter_ruber_DSM13855	Extreme-Halophile-Bacterial
Halonotius_sp_J07HN4	Extreme-Halophile-Archaeal
Chromohalobacter_salexigens	Meso-halophile
Halomonas_elongata	Meso-halophile
Vibrio_fischeri	Meso-halophile
Cobetia_marina	Meso-halophile
Thermus_thermophilus	Thermophile
Thermotoga_maritima	Thermophile
Geobacillus_stearothermophilus	Thermophile
Thermoanaerobacter_tengcongensis	Thermophile
Meiothermus_ruber	Thermophile
Bacillus_subtilis	Mesophile
Escherichia_coli	Mesophile
Pseudomonas_putida	Mesophile
Lactobacillus_plantarum	Mesophile
Corynebacterium_glutamicum	Mesophile
